"Code","Species","Cohort","numyrs","age","li_a","li_b","vbert_cm","grams","SN_mg","RN_mg","Linf","K","To","Rname","Sname","newage","vbert_cm2","grams2","inches","lbs","SN_2","RN_2","interval","recruit_cm","recruit_grams","recruitSN","recruitRN"
"PLA","Plaice",4,2,8,0.0034,3.285,44.526019460482,2338.76224787851,5620.67351088322,14894.7848038405,59.9,0.17,0,"Plaice4_ResN","Plaice4_StructN",12,52.1112802183823,1484.56662060528,20.5162631332573,3.27290526311882,3567.81211392762,9454.7021019082,1.5,9.36447748587662,5.28204842358029,12.6941803018032,33.6395777997784
"PLA","Plaice",5,2,10,0.0034,3.285,48.9572569092412,3168.37318369914,7614.45129463865,20178.2959307924,59.9,0.17,0,"Plaice5_ResN","Plaice5_StructN",15,55.2229082065309,1796.1422664299,21.7413141838194,3.95981116341669,4316.61203179501,11439.0218842568,1.5,9.36447748587662,5.28204842358029,12.6941803018032,33.6395777997784
"PLA","Plaice",6,2,12,0.0034,3.285,52.1112802183823,3869.04037274617,9298.34264058199,24640.6079975423,59.9,0.17,0,"Plaice6_ResN","Plaice6_StructN",18,57.0914270563227,2003.61520809826,22.4769519235013,4.41721016007759,4815.2252057156,12760.3467951463,1.5,9.36447748587662,5.28204842358029,12.6941803018032,33.6395777997784
"PLA","Plaice",7,2,14,0.0034,3.285,54.3562204071304,4428.11904918059,10641.9587819769,28201.1907722388,59.9,0.17,0,"Plaice7_ResN","Plaice7_StructN",21,58.21346436455,2135.90009762405,22.9186991337877,4.70884807322393,5133.14130647452,13602.8244621575,1.5,9.36447748587662,5.28204842358029,12.6941803018032,33.6395777997784
"PLA","Plaice",8,2,16,0.0034,3.285,55.9541022098585,4858.29483206057,11675.7866668122,30940.8346670524,59.9,0.17,0,"Plaice8_ResN","Plaice8_StructN",24,58.8872428074029,2218.18940312064,23.1839663805174,4.89026472190782,5330.90459774246,14126.8971840175,1.5,9.36447748587662,5.28204842358029,12.6941803018032,33.6395777997784
"PLA","Plaice",9,2,18,0.0034,3.285,57.0914270563227,5181.41718512368,12452.3364218305,32998.6915178509,59.9,0.17,0,"Plaice9_ResN","Plaice9_StructN",27,59.2918437834351,2268.64920084917,23.3432581893822,5.00150940117609,5452.17303736882,14448.2585490274,1.5,9.36447748587662,5.28204842358029,12.6941803018032,33.6395777997784
"PLA","Plaice",10,2,20,0.0034,3.285,57.9009411293765,5420.20457354327,13026.2066175036,34519.4475363847,59.9,0.17,0,"Plaice10_ResN","Plaice10_StructN",30,59.5348048807256,2299.33069630303,23.4389122163466,5.06915043968359,5525.90890724113,14643.658604189,1.5,9.36447748587662,5.28204842358029,12.6941803018032,33.6395777997784
"POL","Pollock",1,2,2,0.015,3,30.5523457871634,427.784397996136,1028.08074500393,2724.41397426042,106,0.17,0,"Pollock1_ResN","Pollock1_StructN",3,42.3474686458998,1139.1308785123,16.6722407533594,2.51135071738578,2737.63729515092,7254.73883214993,1.5,16.5715294407833,68.2620045232779,164.051921469065,434.737591893022
"POL","Pollock",2,2,4,0.015,3,52.2985988092475,2145.66253978327,5156.60307566274,13664.9981505063,106,0.17,0,"Pollock2_ResN","Pollock2_StructN",6,67.7769363416537,4670.21700511607,26.6838476146454,10.296053813819,11223.7851600963,29743.0306742552,1.5,16.5715294407833,68.2620045232779,164.051921469065,434.737591893022
"POL","Pollock",3,2,6,0.015,3,67.7769363416537,4670.21700511606,11223.7851600963,29743.0306742552,106,0.17,0,"Pollock3_ResN","Pollock3_StructN",9,83.0472192645033,8591.45153744772,32.6957732716542,18.940885888488,20647.5643774278,54716.0456001837,1.5,16.5715294407833,68.2620045232779,164.051921469065,434.737591893022
"POL","Pollock",4,2,8,0.015,3,78.7939576429231,7337.86982504369,17634.8710046712,46732.4081623787,106,0.17,0,"Pollock4_ResN","Pollock4_StructN",12,92.2169566468869,11763.1494714218,36.305908048836,25.9332745876858,28270.0059394899,74915.5157396483,1.5,16.5715294407833,68.2620045232779,164.051921469065,434.737591893022
"POL","Pollock",5,2,10,0.015,3,86.6355464504101,9753.9295879223,23441.3111942377,62119.4746647299,106,0.17,0,"Pollock5_ResN","Pollock5_StructN",15,97.7233434038778,13998.6517710894,38.4737780214501,30.8617076675792,33642.5180751969,89152.6728992718,1.5,16.5715294407833,68.2620045232779,164.051921469065,434.737591893022
"POL","Pollock",6,2,12,0.015,3,92.2169566468869,11763.1494714218,28270.0059394899,74915.5157396483,106,0.17,0,"Pollock6_ResN","Pollock6_StructN",18,101.029904306681,15468.2464873077,39.7755743554447,34.1016055708482,37174.3486837483,98512.024011933,1.5,16.5715294407833,68.2620045232779,164.051921469065,434.737591893022
"POL","Pollock",7,2,14,0.015,3,96.1896387839036,13349.8424583511,32083.2551270155,85020.626086591,106,0.17,0,"Pollock7_ResN","Pollock7_StructN",21,103.015479509888,16398.2961060904,40.5572972985225,36.152011561409,39409.5075849324,104435.195100071,1.5,16.5715294407833,68.2620045232779,164.051921469065,434.737591893022
"POL","Pollock",8,2,16,0.015,3,99.0172760308013,14562.1058367269,34996.6494513985,92741.1210462061,106,0.17,0,"Pollock8_ResN","Pollock8_StructN",24,104.207808640813,16974.3068594061,41.0267184696968,37.4218963883839,40793.8160524059,108103.612538876,1.5,16.5715294407833,68.2620045232779,164.051921469065,434.737591893022
"POL","Pollock",9,2,18,0.015,3,101.029904306681,15468.2464873077,37174.3486837483,98512.024011933,106,0.17,0,"Pollock9_ResN","Pollock9_StructN",27,104.923797012423,17326.5962237311,41.3086038075879,38.198560566762,41640.4619652273,110347.224207852,1.5,16.5715294407833,68.2620045232779,164.051921469065,434.737591893022
"POL","Pollock",10,2,20,0.015,3,102.462433384205,16135.6050920246,38778.1905600207,102762.204984055,106,0.17,0,"Pollock10_ResN","Pollock10_StructN",30,105.353744864055,17540.468599571,41.4778747067235,38.6700678839862,42154.4546973588,111709.304948001,1.5,16.5715294407833,68.2620045232779,164.051921469065,434.737591893022
"POR","Porbeagle_Shark",1,7,7,0.0054,3,155.688613020142,20378.1290795723,48974.1145868117,129781.403655051,280,0.116,0,"Porbeagle_Shark1_ResN","Porbeagle_Shark1_StructN",28,269.121486522693,105254.065283895,105.953398365471,232.045217406181,252953.773813735,670327.500606398,4,30.6669374767077,155.741725881571,374.289175394307,991.866314794913
"POR","Porbeagle_Shark",2,7,14,0.0054,3,224.809568096942,61353.3291816221,147448.520023124,390738.57806128,280,0.116,0,"Porbeagle_Shark2_ResN","Porbeagle_Shark2_StructN",56,279.577349801872,118004.810308814,110.069882194347,260.155764903018,283597.236983452,751532.678006148,4,30.6669374767077,155.741725881571,374.289175394307,991.866314794913
"POR","Porbeagle_Shark",3,7,21,0.0054,3,255.49714593612,90064.1426718569,216448.312116936,573588.027109879,280,0.116,0,"Porbeagle_Shark3_ResN","Porbeagle_Shark3_StructN",84,279.983579264727,118519.94557561,110.229815140102,261.291442414901,284835.245315092,754813.400084993,4,30.6669374767077,155.741725881571,374.289175394307,991.866314794913
"POR","Porbeagle_Shark",4,7,28,0.0054,3,269.121486522693,105254.065283895,252953.773813735,670327.500606398,280,0.116,0,"Porbeagle_Shark4_ResN","Porbeagle_Shark4_StructN",112,279.999362024321,118539.989721696,110.236028828337,261.335632140246,284883.416778891,754941.054464061,4,30.6669374767077,155.741725881571,374.289175394307,991.866314794913
"POR","Porbeagle_Shark",5,7,35,0.0054,3,275.170274647703,112511.861920271,270396.207450784,716549.949744577,280,0.116,0,"Porbeagle_Shark5_ResN","Porbeagle_Shark5_StructN",140,279.999975213475,118540.768519133,110.23627024152,261.337349092651,284885.288438195,754946.014361218,4,30.6669374767077,155.741725881571,374.289175394307,991.866314794913
"POR","Porbeagle_Shark",6,7,42,0.0054,3,277.855750509729,115838.234017101,278390.372547708,737734.487251425,280,0.116,0,"Porbeagle_Shark6_ResN","Porbeagle_Shark6_StructN",168,279.999999036998,118540.79877691,110.236279620865,261.337415799552,284885.361155757,754946.207062756,4,30.6669374767077,155.741725881571,374.289175394307,991.866314794913
"POR","Porbeagle_Shark",7,7,49,0.0054,3,279.04801918512,117335.814377044,281989.460170737,747272.069452454,280,0.116,0,"Porbeagle_Shark7_ResN","Porbeagle_Shark7_StructN",196,279.999999962586,118540.799952481,110.23627998527,261.337418391238,284885.363980968,754946.214549565,4,30.6669374767077,155.741725881571,374.289175394307,991.866314794913
"POR","Porbeagle_Shark",8,7,56,0.0054,3,279.577349801872,118004.810308814,283597.236983452,751532.678006148,280,0.116,0,"Porbeagle_Shark8_ResN","Porbeagle_Shark8_StructN",224,279.999999998546,118540.799998154,110.236279999428,261.33741849193,284885.364090733,754946.214840441,4,30.6669374767077,155.741725881571,374.289175394307,991.866314794913
"POR","Porbeagle_Shark",9,7,63,0.0054,3,279.812356313083,118302.637183698,284312.994913959,753429.436521992,280,0.116,0,"Porbeagle_Shark9_ResN","Porbeagle_Shark9_StructN",252,279.999999999943,118540.799999928,110.236279999978,261.337418495842,284885.364094997,754946.214851742,4,30.6669374767077,155.741725881571,374.289175394307,991.866314794913
"POR","Porbeagle_Shark",10,7,70,0.0054,3,279.916691975076,118435.023621453,284631.155062371,754272.560915283,280,0.116,0,"Porbeagle_Shark10_ResN","Porbeagle_Shark10_StructN",280,279.999999999998,118540.799999997,110.236279999999,261.337418495994,284885.364095163,754946.214852181,4,30.6669374767077,155.741725881571,374.289175394307,991.866314794913
"PSH","Pelagic_Shark",1,7,7,0.00524,3.141,190.349158270402,75753.1775503421,182055.221221683,482446.336237459,309.244444444444,0.136555555555556,0,"Pelagic_Shark1_ResN","Pelagic_Shark1_StructN",28,302.487461428981,324513.791599143,119.089616052051,715.429595235302,779893.755345212,2066718.45166481,4,39.4726243455966,541.124288439664,1300.46692727629,3446.23735728217
"PSH","Pelagic_Shark",2,7,14,0.00524,3.141,256.84427503747,194135.255299264,466559.133139302,1236381.70281915,309.244444444444,0.136555555555556,1,"Pelagic_Shark2_ResN","Pelagic_Shark2_StructN",56,309.075202084532,347234.460668531,121.683216135883,765.520036679057,834497.622370899,2211418.69928288,4,0,0,0,0
"PSH","Pelagic_Shark",3,7,21,0.00524,3.141,286.150360210859,272579.991514321,655082.89236799,1735969.66477517,309.244444444444,0.136555555555556,2,"Pelagic_Shark3_ResN","Pelagic_Shark3_StructN",84,309.240205425888,347817.056685314,121.748178116378,766.804439509578,835897.756994267,2215129.05603481,4,-45.2482019139196,NA,NA,NA
"PSH","Pelagic_Shark",4,7,28,0.00524,3.141,299.066295544854,313124.402295067,752521.995421935,1994183.28786813,309.244444444444,0.136555555555556,3,"Pelagic_Shark4_ResN","Pelagic_Shark4_StructN",112,309.244338269617,347831.657532525,121.749805221087,766.836628829356,835932.84674964,2215222.04388655,4,-97.1170555912719,NA,NA,NA
"PSH","Pelagic_Shark",5,7,35,0.00524,3.141,304.758675969088,332228.838834352,798435.084917934,2115852.97503253,309.244444444444,0.136555555555556,4,"Pelagic_Shark5_ResN","Pelagic_Shark5_StructN",140,309.24444178508,347832.023245754,121.749845975228,766.837435088055,835933.725656704,2215224.37299027,4,-156.575285266802,NA,NA,NA
"PSH","Pelagic_Shark",6,7,42,0.00524,3.141,307.267452457689,340895.133193165,819262.516686289,2171045.66921867,309.244444444444,0.136555555555556,5,"Pelagic_Shark6_ResN","Pelagic_Shark6_StructN",168,309.244444377835,347832.032405788,121.749846995998,766.837455282449,835933.747670724,2215224.43132742,4,-224.733357510678,NA,NA,NA
"PSH","Pelagic_Shark",7,7,49,0.00524,3.141,308.373133912666,344763.02418619,828558.097058857,2195678.95720597,309.244444444444,0.136555555555556,6,"Pelagic_Shark7_ResN","Pelagic_Shark7_StructN",196,309.244444442776,347832.03263522,121.749847021565,766.837455788259,835933.74822211,2215224.43278859,4,-302.864220762959,NA,NA,NA
"PSH","Pelagic_Shark",8,7,56,0.00524,3.141,308.860435784888,346477.157731334,832677.620118562,2206595.69331419,309.244444444444,0.136555555555556,7,"Pelagic_Shark8_ResN","Pelagic_Shark8_StructN",224,309.244444444403,347832.032640967,121.749847022206,766.837455800928,835933.74823592,2215224.43282519,4,-392.427079446877,NA,NA,NA
"PSH","Pelagic_Shark",9,7,63,0.00524,3.141,309.075202084532,347234.460668531,834497.6223709,2211418.69928288,309.244444444444,0.136555555555556,8,"Pelagic_Shark9_ResN","Pelagic_Shark9_StructN",252,309.244444444443,347832.032641111,121.749847022222,766.837455801245,835933.748236267,2215224.43282611,4,-495.094646676159,NA,NA,NA
"PSH","Pelagic_Shark",10,7,70,0.00524,3.141,309.169855042159,347568.581192289,835300.603682503,2213546.59975863,309.244444444444,0.136555555555556,9,"Pelagic_Shark10_ResN","Pelagic_Shark10_StructN",280,309.244444444444,347832.032641114,121.749847022222,766.837455801253,835933.748236275,2215224.43282613,4,-612.78438453925,NA,NA,NA
"RED","Redfish",1,2,2,0.006,3.1,12.954731404434,16.8530818777491,40.5024798792337,107.331571679969,31.4,0.19,-0.8,"Redfish1_ResN","Redfish1_StructN",3,16.146516656858,33.3576670592125,6.35689975432166,0.073540979952081,80.1674286450672,212.443685909428,1.5,9.09506637213183,5.62923599235913,13.5285652303752,35.8506978604943
"RED","Redfish",2,2,4,0.006,3.1,18.7859926249358,53.3380467440981,128.185644662576,339.691958355828,31.4,0.19,-0.8,"Redfish2_ResN","Redfish2_StructN",6,22.7737671406735,96.8722451244892,8.96605489705031,0.213566489046351,232.810009912255,616.946526267475,1.5,9.09506637213183,5.62923599235913,13.5285652303752,35.8506978604943
"RED","Redfish",3,2,6,0.006,3.1,22.7737671406735,96.8722451244892,232.810009912255,616.946526267475,31.4,0.19,-0.8,"Redfish3_ResN","Redfish3_StructN",9,26.521645877905,155.350520793304,10.4415985037771,0.342488865151333,373.349004550117,989.37486205781,1.5,9.09506637213183,5.62923599235913,13.5285652303752,35.8506978604943
"RED","Redfish",4,2,8,0.006,3.1,25.5008522406271,137.553233642766,330.577345933107,876.029966722733,31.4,0.19,-0.8,"Redfish4_ResN","Redfish4_StructN",12,28.6411666449706,197.161645156385,11.2760559492916,0.434666506144669,473.832360385447,1255.65575502144,1.5,9.09506637213183,5.62923599235913,13.5285652303752,35.8506978604943
"RED","Redfish",5,2,10,0.006,3.1,27.3658005001233,171.197152082205,411.432713487636,1090.29669074224,31.4,0.19,-0.8,"Redfish5_ResN","Redfish5_StructN",15,29.8398095565981,223.881906353052,11.7479628622422,0.493574528384066,538.048320963837,1425.82805055417,1.5,9.09506637213183,5.62923599235913,13.5285652303752,35.8506978604943
"RED","Redfish",6,2,12,0.006,3.1,28.6411666449706,197.161645156385,473.832360385448,1255.65575502144,31.4,0.19,-0.8,"Redfish6_ResN","Redfish6_StructN",18,30.5176726150403,240.027289290891,12.014838226214,0.529168962516484,576.850010312162,1528.65252732723,1.5,9.09506637213183,5.62923599235913,13.5285652303752,35.8506978604943
"RED","Redfish",7,2,14,0.006,3.1,29.5133403340475,216.375549994924,520.008531590782,1378.02260871557,31.4,0.19,-0.8,"Redfish7_ResN","Redfish7_StructN",21,30.901021418544,249.49798301841,12.1657630335022,0.550048243322047,599.610629700577,1588.96816870653,1.5,9.09506637213183,5.62923599235913,13.5285652303752,35.8506978604943
"RED","Redfish",8,2,16,0.006,3.1,30.1097862621376,230.2210527645,553.282991503244,1466.1999274836,31.4,0.19,-0.8,"Redfish8_ResN","Redfish8_StructN",24,31.1178149188204,254.964338134074,12.2511148513545,0.562099479137142,612.747748459683,1623.78153341816,1.5,9.09506637213183,5.62923599235913,13.5285652303752,35.8506978604943
"RED","Redfish",9,2,18,0.006,3.1,30.5176726150403,240.027289290891,576.850010312162,1528.65252732723,31.4,0.19,-0.8,"Redfish9_ResN","Redfish9_StructN",27,31.2404171581715,258.091324370784,12.2993834755893,0.568993295534318,620.262735810584,1643.69624989805,1.5,9.09506637213183,5.62923599235913,13.5285652303752,35.8506978604943
"RED","Redfish",10,2,20,0.006,3.1,30.7966103511348,246.893864142005,593.352232977661,1572.3834173908,31.4,0.19,-0.8,"Redfish10_ResN","Redfish10_StructN",30,31.309751843366,259.871162598538,12.326680610485,0.572917162487989,624.540164860702,1655.03143688086,1.5,9.09506637213183,5.62923599235913,13.5285652303752,35.8506978604943
"REP","Turtle",1,8,8,0.05,3.2,89.3012313213619,1424.30282977168,3422.982047036,9070.9024246454,114.3,0.19,0,"Turtle1_ResN","Turtle1_StructN",36,114.177687181421,191968.502606398,44.9518696210127,423.217600216117,461351.844764235,1222582.38862522,4.5,19.7785709902737,702.738452186375,1688.86914728761,4475.50324031217
"REP","Turtle",2,8,16,0.05,3.2,108.832472130813,2578.13395380748,6195.94797838855,16419.2621427297,114.3,0.19,0,"Turtle2_ResN","Turtle2_StructN",72,114.299869112637,192626.640400681,44.9999727695143,424.66854396015,462933.526557753,1226773.84537805,4.5,19.7785709902737,702.738452186375,1688.86914728761,4475.50324031217
"REP","Turtle",3,8,24,0.05,3.2,113.104186662766,2893.7835188386,6954.53861773275,18429.5273369918,114.3,0.19,0,"Turtle3_ResN","Turtle3_StructN",108,114.299999859937,192627.345505806,45.0000242448571,424.670098449009,462935.221114649,1226778.33595382,4.5,19.7785709902737,702.738452186375,1688.86914728761,4475.50324031217
"REP","Turtle",4,8,32,0.05,3.2,114.038461408571,2966.08807873601,7128.30588496998,18890.0105951704,114.3,0.19,0,"Turtle4_ResN","Turtle4_StructN",144,114.29999999985,192627.346260342,45.000024299941,424.670100112475,462935.222928003,1226778.34075921,4.5,19.7785709902737,702.738452186375,1688.86914728761,4475.50324031217
"REP","Turtle",5,8,40,0.05,3.2,114.242798401158,2982.06079928263,7166.69262024184,18991.7354436409,114.3,0.19,0,"Turtle5_ResN","Turtle5_StructN",180,114.3,192627.346261149,45.0000242999999,424.670100114255,462935.222929943,1226778.34076435,4.5,19.7785709902737,702.738452186375,1688.86914728761,4475.50324031217
"REP","Turtle",6,8,48,0.05,3.2,114.287489330381,2985.56184822652,7175.10658069339,19014.0324388375,114.3,0.19,0,"Turtle6_ResN","Turtle6_StructN",216,114.3,192627.34626115,45.0000243,424.670100114257,462935.222929945,1226778.34076436,4.5,19.7785709902737,702.738452186375,1688.86914728761,4475.50324031217
"REP","Turtle",7,8,56,0.05,3.2,114.29726376784,2986.32793426841,7176.94769110408,19018.9113814258,114.3,0.19,0,"Turtle7_ResN","Turtle7_StructN",252,114.3,192627.34626115,45.0000243,424.670100114257,462935.222929945,1226778.34076436,4.5,19.7785709902737,702.738452186375,1688.86914728761,4475.50324031217
"REP","Turtle",8,8,64,0.05,3.2,114.299401553501,2986.49550385582,7177.35040580587,19019.9785753855,114.3,0.19,0,"Turtle8_ResN","Turtle8_StructN",288,114.3,192627.34626115,45.0000243,424.670100114257,462935.222929945,1226778.34076436,4.5,19.7785709902737,702.738452186375,1688.86914728761,4475.50324031217
"REP","Turtle",9,8,72,0.05,3.2,114.299869112637,2986.53215415188,7177.43848630588,19020.2119887106,114.3,0.19,0,"Turtle9_ResN","Turtle9_StructN",324,114.3,192627.34626115,45.0000243,424.670100114257,462935.222929945,1226778.34076436,4.5,19.7785709902737,702.738452186375,1688.86914728761,4475.50324031217
"REP","Turtle",10,8,80,0.05,3.2,114.299971373378,2986.54017004725,7177.45775065429,19020.2630392339,114.3,0.19,0,"Turtle10_ResN","Turtle10_StructN",360,114.3,192627.34626115,45.0000243,424.670100114257,462935.222929945,1226778.34076436,4.5,19.7785709902737,702.738452186375,1688.86914728761,4475.50324031217
"RHK","Red_Hake",1,2,2,0.013,3,19.0315431654162,89.6118339076153,215.361292736398,570.707425751455,60.2,0.19,0,"Red_Hake1_ResN","Red_Hake1_StructN",3,26.1553685902879,232.608663621338,10.2973947693649,0.512813711992874,559.021061334626,1481.40581253676,1.5,10.4170601366096,14.695313864376,35.3167841008795,93.5894778673307
"RHK","Red_Hake",2,2,4,0.013,3,32.0464810940035,427.84296656975,1028.22150100877,2724.78697767324,60.2,0.19,0,"Red_Hake2_ResN","Red_Hake2_StructN",6,40.9468948866585,892.495989352254,16.1208334637723,1.96761450804577,2144.90744857547,5684.004738725,1.5,10.4170601366096,14.695313864376,35.3167841008795,93.5894778673307
"RHK","Red_Hake",3,2,6,0.013,3,40.9468948866585,892.495989352254,2144.90744857547,5684.004738725,60.2,0.19,0,"Red_Hake3_ResN","Red_Hake3_StructN",9,49.3118792844493,1558.8273391486,19.414136186167,3.43662192843378,3746.28055551213,9927.64347210715,1.5,10.4170601366096,14.695313864376,35.3167841008795,93.5894778673307
"RHK","Red_Hake",4,2,8,0.013,3,47.0335444054767,1352.59094710825,3250.63914229332,8614.19372707731,60.2,0.19,0,"Red_Hake4_ResN","Red_Hake4_StructN",12,54.0424907557246,2051.86802200919,21.2765826530196,4.52358927868191,4931.18967077432,13067.6526275519,1.5,10.4170601366096,14.695313864376,35.3167841008795,93.5894778673307
"RHK","Red_Hake",5,2,10,0.013,3,51.1959691227974,1744.41839503647,4192.30568381752,11109.6100621164,60.2,0.19,0,"Red_Hake5_ResN","Red_Hake5_StructN",15,56.7177718833347,2371.92436884015,22.3298435082408,5.22919190203237,5700.37098976243,15105.9831228704,1.5,10.4170601366096,14.695313864376,35.3167841008795,93.5894778673307
"RHK","Red_Hake",6,2,12,0.013,3,54.0424907557246,2051.86802200919,4931.18967077432,13067.6526275519,60.2,0.19,0,"Red_Hake6_ResN","Red_Hake6_StructN",18,58.230711416671,2566.84497585294,22.9254893154548,5.65891777066491,6168.81753389316,16347.3664648169,1.5,10.4170601366096,14.695313864376,35.3167841008795,93.5894778673307
"RHK","Red_Hake",7,2,14,0.013,3,55.9891170509717,2281.67723045515,5483.48288982252,14531.2296580297,60.2,0.19,0,"Red_Hake7_ResN","Red_Hake7_StructN",21,59.0863172099869,2681.66249044154,23.262342171889,5.91204675967722,6444.75484364704,17078.6003356647,1.5,10.4170601366096,14.695313864376,35.3167841008795,93.5894778673307
"RHK","Red_Hake",8,2,16,0.013,3,57.3203396524493,2448.32810373016,5883.98967491026,15592.5726385122,60.2,0.19,0,"Red_Hake8_ResN","Red_Hake8_StructN",24,59.5701840516057,2748.0851042749,23.4528410313012,6.05848338258654,6604.38621551287,17501.6234711091,1.5,10.4170601366096,14.695313864376,35.3167841008795,93.5894778673307
"RHK","Red_Hake",9,2,18,0.013,3,58.230711416671,2566.84497585294,6168.81753389316,16347.3664648169,60.2,0.19,0,"Red_Hake9_ResN","Red_Hake9_StructN",27,59.8438230594844,2786.12978352406,23.5605729823421,6.14235744335282,6695.81779265576,17743.9171505378,1.5,10.4170601366096,14.695313864376,35.3167841008795,93.5894778673307
"RHK","Red_Hake",10,2,20,0.013,3,58.8532795342588,2650.05786861733,6368.80045329807,16877.3212012399,60.2,0.19,0,"Red_Hake10_ResN","Red_Hake10_StructN",30,59.9985728794602,2807.79963704199,23.6214981412164,6.19013123581552,6747.89626782503,17881.9251097363,1.5,10.4170601366096,14.695313864376,35.3167841008795,93.5894778673307
"RWH","Right_Whale",1,9,9,0.017,3,1417.90644503843,48460919.6034174,116464598.902709,308631187.09218,1584.96,0.25,0,"Right_Whale1_ResN","Right_Whale1_StructN",45,1584.93938395351,67684136.5834917,623.992220401881,149217.801194697,162663149.68395,431057346.662468,5,350.591910863146,732579.22054167,1760584.52425299,4665548.98927043
"RWH","Right_Whale",2,9,18,0.017,3,1567.35268484675,65455948.1141942,157308214.645985,416866768.811859,1584.96,0.25,0,"Right_Whale2_ResN","Right_Whale2_StructN",90,1584.95999973184,67686777.7809792,624.000336854426,149223.624031502,162669497.190529,431074167.554902,5,350.591910863146,732579.22054167,1760584.52425299,4665548.98927043
"RWH","Right_Whale",3,9,27,0.017,3,1583.10420263623,67449296.8878684,162098766.853805,429561732.162584,1584.96,0.25,0,"Right_Whale3_ResN","Right_Whale3_StructN",135,1584.96,67686777.8153345,624.000336959999,149223.624107243,162669497.273094,431074167.7737,5,350.591910863146,732579.22054167,1760584.52425299,4665548.98927043
"RWH","Right_Whale",4,9,36,0.017,3,1584.76440039691,67661721.2718441,162609279.672781,430914591.132869,1584.96,0.25,0,"Right_Whale4_ResN","Right_Whale4_StructN",180,1584.96,67686777.8153349,624.00033696,149223.624107244,162669497.273095,431074167.773702,5,350.591910863146,732579.22054167,1760584.52425299,4665548.98927043
"RWH","Right_Whale",5,9,45,0.017,3,1584.93938395351,67684136.5834917,162663149.68395,431057346.662468,1584.96,0.25,0,"Right_Whale5_ResN","Right_Whale5_StructN",225,1584.96,67686777.8153349,624.00033696,149223.624107244,162669497.273095,431074167.773702,5,350.591910863146,732579.22054167,1760584.52425299,4665548.98927043
"RWH","Right_Whale",6,9,54,0.017,3,1584.95782708469,67686499.4283074,162668828.234336,431072394.820991,1584.96,0.25,0,"Right_Whale6_ResN","Right_Whale6_StructN",270,1584.96,67686777.8153349,624.00033696,149223.624107244,162669497.273095,431074167.773702,5,350.591910863146,732579.22054167,1760584.52425299,4665548.98927043
"RWH","Right_Whale",7,9,63,0.017,3,1584.95977097641,67686748.4735221,162669426.756842,431073980.905632,1584.96,0.25,0,"Right_Whale7_ResN","Right_Whale7_StructN",315,1584.96,67686777.8153349,624.00033696,149223.624107244,162669497.273095,431074167.773702,5,350.591910863146,732579.22054167,1760584.52425299,4665548.98927043
"RWH","Right_Whale",8,9,72,0.017,3,1584.95997586109,67686774.7227302,162669489.840736,431074148.07795,1584.96,0.25,0,"Right_Whale8_ResN","Right_Whale8_StructN",360,1584.96,67686777.8153349,624.00033696,149223.624107244,162669497.273095,431074167.773702,5,350.591910863146,732579.22054167,1760584.52425299,4665548.98927043
"RWH","Right_Whale",9,9,81,0.017,3,1584.95999745578,67686777.4893768,162669496.48973,431074165.697785,1584.96,0.25,0,"Right_Whale9_ResN","Right_Whale9_StructN",405,1584.96,67686777.8153349,624.00033696,149223.624107244,162669497.273095,431074167.773702,5,350.591910863146,732579.22054167,1760584.52425299,4665548.98927043
"RWH","Right_Whale",10,9,90,0.017,3,1584.95999973184,67686777.7809792,162669497.190529,431074167.554902,1584.96,0.25,0,"Right_Whale10_ResN","Right_Whale10_StructN",450,1584.96,67686777.8153349,624.00033696,149223.624107244,162669497.273095,431074167.773702,5,350.591910863146,732579.22054167,1760584.52425299,4665548.98927043
"SAL","Atlantic_Salmon",1,2,2,0.01,3,44.836473739153,1216.82497867633,2924.35707444443,7749.54624727773,136,0.2,0,"Atlantic_Salmon1_ResN","Atlantic_Salmon1_StructN",3,61.3616174912124,2310.41713741536,24.1581301679078,5.09359182948864,5552.55260133467,14714.2643935369,1.5,24.6526175813945,149.826666357561,360.073699489453,954.19530364705
"SAL","Atlantic_Salmon",2,2,4,0.01,3,74.8912608800579,5670.5762678765,13627.9170100372,36113.9800765987,136,0.2,0,"Atlantic_Salmon2_ResN","Atlantic_Salmon2_StructN",6,95.0375871799405,8583.9307559688,37.4163931103298,18.9243054232239,20629.4899206172,54668.1482896355,1.5,24.6526175813945,149.826666357561,360.073699489453,954.19530364705
"SAL","Atlantic_Salmon",3,2,6,0.01,3,95.0375871799405,11588.3065205579,27849.8113928332,73802.0001910079,136,0.2,0,"Atlantic_Salmon3_ResN","Atlantic_Salmon3_StructN",9,113.519351201864,14628.8336357459,44.6926820875251,32.2510192100382,35157.0142651909,93166.0878027558,1.5,24.6526175813945,149.826666357561,360.073699489453,954.19530364705
"SAL","Atlantic_Salmon",4,2,8,0.01,3,108.542073552727,17263.4706325699,41488.7542239123,109945.198693367,136,0.2,0,"Atlantic_Salmon4_ResN","Atlantic_Salmon4_StructN",12,123.66235835264,18910.9163629891,48.6859941457927,41.6913844321729,45448.0085628192,120437.222691471,1.5,24.6526175813945,149.826666357561,360.073699489453,954.19530364705
