Species,Cohort,SN,RN
Pinniped,10,185344.3423,491162.507
Plaice,1,476.0273973,1261.472603
Plaice,2,1129.488104,2993.143474
Plaice,3,1548.906513,4104.60226
Plaice,4,2095.457822,5552.96323
Plaice,5,2636.890171,6987.758953
Plaice,6,2919.850997,7737.605143
Plaice,7,3445.56597,9130.749819
Plaice,8,3970.920452,10522.9392
Plaice,9,4109.589041,10890.41096
Plaice,10,4373.94857,11590.96371
Pollock,1,127.5414564,337.9848595
Pollock,2,347.4885845,920.8447489
Pollock,3,732.4200913,1940.913242
Pollock,4,1115.200673,2955.281782
Pollock,5,1550.432588,4108.646359
Pollock,6,1976.435953,5237.555275
Pollock,7,2275.666907,6030.517304
Pollock,8,2451.333814,6496.034608
Pollock,9,2643.59529,7005.527518
Pollock,10,3076.18361,8151.886566
Porbeagle_Shark,1,1355.00938,3590.52486
Porbeagle_Shark,2,9019.28204,23901.1974
Porbeagle_Shark,3,20847.3854,55245.1214
Porbeagle_Shark,4,32899.0593,87183.5571
Porbeagle_Shark,5,43204.5378,114492.325
Porbeagle_Shark,6,51223.1927,135742.561
Porbeagle_Shark,7,57132.7029,151401.763
Porbeagle_Shark,8,61342.9118,162558.266
Porbeagle_Shark,9,64280.7821,170344.273
Porbeagle_Shark,10,66302.7108,175702.084
Red_Hake,1,127.5414564,337.9848595
Red_Hake,2,347.4885845,920.8447489
Red_Hake,3,732.4200913,1940.913242
Red_Hake,4,1115.200673,2955.281782
Red_Hake,5,1550.432588,4108.646359
Red_Hake,6,1976.435953,5237.555275
Red_Hake,7,2275.666907,6030.517304
Red_Hake,8,2451.333814,6496.034608
Red_Hake,9,2643.59529,7005.527518
Red_Hake,10,3076.18361,8151.886566
Redfish,1,127.5414564,337.9848595
Redfish,2,347.4885845,920.8447489
Redfish,3,732.4200913,1940.913242
Redfish,4,1115.200673,2955.281782
Redfish,5,1550.432588,4108.646359
Redfish,6,1976.435953,5237.555275
Redfish,7,2275.666907,6030.517304
Redfish,8,2451.333814,6496.034608
Redfish,9,2643.59529,7005.527518
Redfish,10,3076.18361,8151.886566
Right_Whale,1,1513105530,4009729654
Right_Whale,2,1762470683,4670547309
Right_Whale,3,1772157205,4696216593
Right_Whale,4,1772515152,4697165152
Right_Whale,5,1772528355,4697200141
Right_Whale,6,1772528841,4697201430
Right_Whale,7,1772528859,4697201478
Right_Whale,8,1772528860,4697201480
Right_Whale,9,1772528862,4697201484
Right_Whale,10,1772528862,4697201485
Sandbar_Shark,1,819.6659786,2172.114843
Sandbar_Shark,2,3110.527303,8242.897354
Sandbar_Shark,3,5086.883093,13480.2402
Sandbar_Shark,4,6322.386939,16754.32539
Sandbar_Shark,5,7003.190092,18558.45374
Sandbar_Shark,6,7359.72978,19503.28392
Sandbar_Shark,7,7506.098705,19891.16157
Sandbar_Shark,8,7633.702383,20229.31132
Sandbar_Shark,9,7678.738975,20348.65828
Sandbar_Shark,10,7701.257272,20408.33177
Scup,1,127.5414564,337.9848595
Scup,2,347.4885845,920.8447489
Scup,3,732.4200913,1940.913242
Scup,4,1115.200673,2955.281782
Scup,5,1550.432588,4108.646359
Scup,6,1976.435953,5237.555275
Scup,7,2275.666907,6030.517304
Scup,8,2451.333814,6496.034608
Scup,9,2643.59529,7005.527518
Scup,10,3076.18361,8151.886566
Seabird,1,11007.69375,29170.38844
Seabird,2,23420.52918,62064.40233
Seabird,3,26457.49672,70112.3663
Seabird,4,27051.97973,71687.74629
Seabird,5,27162.31938,71980.14637
Seabird,6,27182.58585,72033.85251
Seabird,7,27187.08951,72045.7872
Seabird,8,27187.84012,72047.77632
Seabird,9,27188.59073,72049.76543
Seabird,10,27189.34134,72051.75455
Shallow_Demersal_Fish,1,48.0653689,127.3732276
Shallow_Demersal_Fish,2,120.1634223,318.433069
Shallow_Demersal_Fish,3,192.2614756,509.4929104
Shallow_Demersal_Fish,4,242.730113,643.2347994
Shallow_Demersal_Fish,5,254.7464552,675.0781062
Shallow_Demersal_Fish,6,283.321317,750.8014901
Shallow_Demersal_Fish,7,314.4436434,833.275655
Shallow_Demersal_Fish,8,345.5659698,915.7498198
Shallow_Demersal_Fish,9,372.7469359,987.77938
Shallow_Demersal_Fish,10,408.7959625,1083.309301
Silver_Hake,1,10.71857726,28.40422975
Silver_Hake,2,101.2496996,268.311704
Silver_Hake,3,233.9101178,619.8618121
Silver_Hake,4,444.0038452,1176.61019
Silver_Hake,5,826.5801494,2190.437396
Silver_Hake,6,1622.446527,4299.483297
Silver_Hake,7,2838.956982,7523.236002
Silver_Hake,8,3436.673877,9107.185773
Silver_Hake,9,3845.229512,10189.85821
Silver_Hake,10,4325.883201,11463.59048
Small_Whale,1,8511146.557,22554538.37
Small_Whale,2,9222421.467,24439416.89
Small_Whale,3,9235805.592,24474884.82
Small_Whale,4,9236050.291,24475533.27
Small_Whale,5,9236054.795,24475545.21
Small_Whale,6,9236055.545,24475547.19
Small_Whale,7,9236056.296,24475549.18
Small_Whale,8,9236057.046,24475551.17
Small_Whale,9,9236057.797,24475553.16
Small_Whale,10,9236059.298,24475557.14
Smooth_Dogfish,1,819.6659786,2172.114843
Smooth_Dogfish,2,3110.527303,8242.897354
Smooth_Dogfish,3,5086.883093,13480.2402
Smooth_Dogfish,4,6322.386939,16754.32539
Smooth_Dogfish,5,7003.190092,18558.45374
Smooth_Dogfish,6,7359.72978,19503.28392
Smooth_Dogfish,7,7506.098705,19891.16157
Smooth_Dogfish,8,7633.702383,20229.31132
Smooth_Dogfish,9,7678.738975,20348.65828
Smooth_Dogfish,10,7701.257272,20408.33177
Spiny_Dogfish,1,343.7793207,911.0151998
Spiny_Dogfish,2,1944.830175,5153.799963
Spiny_Dogfish,3,4816.663539,12764.15838
Spiny_Dogfish,4,8564.458623,22695.81535
Spiny_Dogfish,5,12752.8617,33795.08351
Spiny_Dogfish,6,17035.09101,45142.99118
Spiny_Dogfish,7,21167.19835,56093.07562
Spiny_Dogfish,8,24995.30869,66237.56802
Spiny_Dogfish,9,28445.11165,75379.54588
Spiny_Dogfish,10,31491.08651,83451.37925
Striped_Bass,1,127.5414564,337.9848595
Striped_Bass,2,347.4885845,920.8447489
Striped_Bass,3,732.4200913,1940.913242
Striped_Bass,4,1115.200673,2955.281782
Striped_Bass,5,1550.432588,4108.646359
Striped_Bass,6,1976.435953,5237.555275
Striped_Bass,7,2275.666907,6030.517304
Striped_Bass,8,2451.333814,6496.034608
Striped_Bass,9,2643.59529,7005.527518
Striped_Bass,10,3076.18361,8151.886566
Summerflounder,1,476.0273973,1261.472603
Summerflounder,2,1129.488104,2993.143474
Summerflounder,3,1548.906513,4104.60226
Summerflounder,4,2095.457822,5552.96323
Summerflounder,5,2636.890171,6987.758953
Summerflounder,6,2919.850997,7737.605143
Summerflounder,7,3445.56597,9130.749819
Summerflounder,8,3970.920452,10522.9392
Summerflounder,9,4109.589041,10890.41096
Summerflounder,10,4373.94857,11590.96371
Tautog,1,127.5414564,337.9848595
Tautog,2,347.4885845,920.8447489
Tautog,3,732.4200913,1940.913242
Tautog,4,1115.200673,2955.281782
Tautog,5,1550.432588,4108.646359
Tautog,6,1976.435953,5237.555275
Tautog,7,2275.666907,6030.517304
Tautog,8,2451.333814,6496.034608
Tautog,9,2643.59529,7005.527518
Tautog,10,3076.18361,8151.886566
Tilefish,1,127.5414564,337.9848595
Tilefish,2,347.4885845,920.8447489
Tilefish,3,732.4200913,1940.913242
Tilefish,4,1115.200673,2955.281782
Tilefish,5,1550.432588,4108.646359
Tilefish,6,1976.435953,5237.555275
Tilefish,7,2275.666907,6030.517304
Tilefish,8,2451.333814,6496.034608
Tilefish,9,2643.59529,7005.527518
Tilefish,10,3076.18361,8151.886566
Tooth_Whale,1,8511146.557,22554538.37
Tooth_Whale,2,9222421.467,24439416.89
Tooth_Whale,3,9235805.592,24474884.82
Tooth_Whale,4,9236050.291,24475533.27
Tooth_Whale,5,9236054.795,24475545.21
Tooth_Whale,6,9236055.545,24475547.19
Tooth_Whale,7,9236056.296,24475549.18
Tooth_Whale,8,9236057.046,24475551.17
Tooth_Whale,9,9236057.797,24475553.16
Tooth_Whale,10,9236059.298,24475557.14
Tunas,1,829.488459,2197.74442
Tunas,2,67705.01032,179418.2774
Tunas,3,124433.1019,329747.72
Tunas,4,157775.1923,418104.2597
Tunas,5,174502.5333,462431.7133
Tunas,6,182386.1888,483323.4003
Tunas,7,186004.1284,492910.9401
Tunas,8,187644.9615,497259.1481
Tunas,9,188385.8135,499222.4057
Tunas,10,188718.3336,500103.5842
Turtle,1,1466,5263
Turtle,2,12000,32000
Turtle,3,23420.52918,62064.40233
Turtle,4,31200,83000
Turtle,5,40855,109000
Turtle,6,48000,127000
Turtle,7,60000,160000
Turtle,8,72000,191000
Turtle,9,84000,223000
Turtle,10,1.00E+05,265000
White_Hake,1,43.97981254,116.5465032
White_Hake,2,253.3044941,671.2569094
White_Hake,3,789.9543381,2093.378996
White_Hake,4,1839.701994,4875.210285
White_Hake,5,3889.449651,10307.04158
White_Hake,6,6412.881519,16994.13603
White_Hake,7,9491.949049,25153.66498
White_Hake,8,14744.53257,39073.0113
White_Hake,9,21457.66242,56862.80541
White_Hake,10,34739.24537,92059.00024
Windowpane,1,476.0273973,1261.472603
Windowpane,2,1129.488104,2993.143474
Windowpane,3,1548.906513,4104.60226
Windowpane,4,2095.457822,5552.96323
Windowpane,5,2636.890171,6987.758953
Windowpane,6,2919.850997,7737.605143
Windowpane,7,3445.56597,9130.749819
Windowpane,8,3970.920452,10522.9392
Windowpane,9,4109.589041,10890.41096
Windowpane,10,4373.94857,11590.96371
Winter_Skate,1,350,927.5
