|Code|Functional_Group|Species|Scientific_Name|SVSPP|NESPP3|Species_Itis|isFishedSpecies|
|TUN|Other tunas|Little tunny|EUTHYNNUS ALLETTERATUS|743|468|172402|FALSE|
|TWH|Toothed whales|Toothed whales|NA|NA|NA|NA|TRUE|
|TYL|All tilefish|Blueline tilefish|CAULOLATILUS MICROPS|621|444|168543|FALSE|
|TYL|All tilefish|Tilefish|LOPHOLATILUS CHAMAELEONTICEPS|151|446|168546|FALSE|
|TYL|All tilefish|Tilefish unclassified|MALACANTHIDAE|NA|447|168537|FALSE|
|WHK|White hake|White hake|UROPHYCIS TENUIS|76|153|164732|TRUE|
|WHK|White hake|White hake|UROPHYCIS TENUIS|76|154|164732|TRUE|
|WIF|Winter flounder|Winter flounder|PSEUDOPLEURONECTES AMERICANUS|106|119|172905|TRUE|
|WIF|Winter flounder|Winter flounder|PSEUDOPLEURONECTES AMERICANUS|106|120|172905|TRUE|
|WOL|Wolffish|Northern wolffish|ANARHICHAS DENTICULATUS|NA|668|550561|FALSE|
|WOL|Wolffish|Spotted wolffish|ANARHICHAS MINOR|NA|510|171342|FALSE|
|WPF|Windowpane flounder|Windowpane flounder|SCOPHTHALMUS AQUOSUS|108|125|172746|TRUE|
|WSK|Winter skate|Winter skate|LEUCORAJA OCELLATA|23|367|564145|TRUE|
|WTF|Witch flounder|Witch flounder|GLYPTOCEPHALUS CYNOGLOSSUS|107|122|172873|TRUE|
|YTF|Yellowtail flounder|Yellowtail flounder|LIMANDA FERRUGINEA|105|123|172909|TRUE|
|ZG|Gelatinous zooplankton|Gelatinous zooplankton|NA|NA|NA|NA|FALSE|
|ZL|Carnivorous zooplankton|All carnivorous zooplankton|NA|NA|NA|NA|FALSE|
|ZM|Mesozooplankton|Mesozooplankton|NA|NA|NA|NA|FALSE|
|ZS|Microzooplankton|Microzooplankton|NA|NA|NA|NA|FALSE|
