"agecl","box","measurement","Code"
9,"10",240.30048227685,"BIL"
10,"10",71.549794671215,"BIL"
1,"11",165.645227767474,"BIL"
2,"11",371.102450660165,"BIL"
3,"11",1582.04545995242,"BIL"
4,"11",1257.27647007761,"BIL"
5,"11",971.201509786276,"BIL"
6,"11",776.613396327147,"BIL"
7,"11",497.805212057108,"BIL"
8,"11",365.077858574134,"BIL"
9,"11",240.30048227685,"BIL"
10,"11",71.549794671215,"BIL"
1,"12",164.53809646751,"BIL"
2,"12",368.622094635686,"BIL"
3,"12",1571.47146352472,"BIL"
4,"12",1248.87314840338,"BIL"
5,"12",964.710241643217,"BIL"
6,"12",771.422706497844,"BIL"
7,"12",494.478006444355,"BIL"
8,"12",362.637769417333,"BIL"
9,"12",238.69437391556,"BIL"
10,"12",71.0715737272486,"BIL"
1,"13",164.53809646751,"BIL"
2,"13",368.622094635686,"BIL"
3,"13",1571.47146352472,"BIL"
4,"13",1248.87314840338,"BIL"
5,"13",964.710241643217,"BIL"
6,"13",771.422706497844,"BIL"
7,"13",494.478006444355,"BIL"
8,"13",362.637769417333,"BIL"
9,"13",238.69437391556,"BIL"
10,"13",71.0715737272486,"BIL"
1,"14",164.53809646751,"BIL"
2,"14",368.622094635686,"BIL"
3,"14",1571.47146352472,"BIL"
4,"14",1248.87314840338,"BIL"
5,"14",964.710241643217,"BIL"
6,"14",771.422706497844,"BIL"
7,"14",494.478006444355,"BIL"
8,"14",362.637769417333,"BIL"
9,"14",238.69437391556,"BIL"
10,"14",71.0715737272486,"BIL"
1,"15",164.53809646751,"BIL"
2,"15",368.622094635686,"BIL"
3,"15",1571.47146352472,"BIL"
4,"15",1248.87314840338,"BIL"
5,"15",964.710241643217,"BIL"
6,"15",771.422706497844,"BIL"
7,"15",494.478006444355,"BIL"
8,"15",362.637769417333,"BIL"
9,"15",238.69437391556,"BIL"
10,"15",71.0715737272486,"BIL"
1,"16",165.645227767474,"BIL"
2,"16",371.102450660165,"BIL"
3,"16",1582.04545995242,"BIL"
4,"16",1257.27647007761,"BIL"
5,"16",971.201509786276,"BIL"
6,"16",776.613396327147,"BIL"
7,"16",497.805212057108,"BIL"
8,"16",365.077858574134,"BIL"
9,"16",240.30048227685,"BIL"
10,"16",71.549794671215,"BIL"
1,"17",165.645227767474,"BIL"
2,"17",371.102450660165,"BIL"
3,"17",1582.04545995242,"BIL"
4,"17",1257.27647007761,"BIL"
5,"17",971.201509786276,"BIL"
