pred.names,prey.names,R/J,Bio_JC.pprey,Bio_Orig.pprey,Bio_RG.pprey,final.value
2WSK2,OPT,J,0.12,0.24,0.24,0.24
1LSK1,OPT,J,0.025,0.05,0.05,0.05
2LSK1,OPT,J,0.09,0.18,0.18,0.18
1LSK2,OPT,J,0.09,0.18,0.18,0.18
2LSK2,OPT,J,0.09,0.18,0.18,0.18
1HER1,SAL,J,0,1.00E-05,1.00E-05,0.00001
2HER1,SAL,J,0,1.00E-05,1.00E-05,0.00001
1HER2,SAL,J,0,1.00E-05,1.00E-05,0.00001
2HER2,SAL,J,0,1.00E-05,1.00E-05,0.00001
1ANC1,SAL,J,0,1.00E-05,1.00E-05,0.00001
2ANC1,SAL,J,0,1.00E-05,1.00E-05,0.00001
1ANC2,SAL,J,0,1.00E-05,1.00E-05,0.00001
2ANC2,SAL,J,0,1.00E-05,1.00E-05,0.00001
1DOG1,SAL,J,0.025,0.05,0.05,0.05
1DOG2,SAL,J,0.025,0.05,0.05,0.05
2DOG2,SAL,J,0.025,0.05,0.05,0.05
SCA,SAL,R,0.001,1.00E-04,1.00E-04,0.0001
BFF,SAL,R,0.01,1.00E-04,1.00E-04,0.0001
BG,SAL,R,0.25,0,0,0
ZM,SAL,J,0,0.05,0.05,0.05
ZS,SAL,J,0,0.001,0.001,0.001
1BLF1,DRM,J,0.025,0.05,0.05,0.05
1BLF2,DRM,J,0.05,0.1,0.1,0.1
2BLF2,DRM,J,0.025,0.05,0.05,0.05
1BSB1,DRM,J,0.04,0.09375,0.09375,0.09375
1BSB2,DRM,J,0.05,0.1005,0.1005,0.1005
1DRM1,DRM,J,0.01,0.15,0.15,0.15
2DRM1,DRM,J,0.01,0.135,0.135,0.135
1DRM2,DRM,J,0.01,0.12,0.12,0.12
2DRM2,DRM,J,0.01,0.2,0.2,0.2
1YTF1,DRM,J,0.06,0.12,0.12,0.12
2YTF1,DRM,J,0.06,0.12,0.12,0.12
1YTF2,DRM,J,0.06,0.12,0.12,0.12
1GOO1,STB,J,0,0.05,0.05,0.05
2GOO1,STB,J,0,0.05,0.05,0.05
1GOO2,STB,J,0,0.1,0.1,0.1
2GOO2,STB,J,0,0.1,0.1,0.1
1YTF1,STB,J,0.02,0.12,0.12,0.12
2YTF1,STB,J,0.02,0.12,0.12,0.12
1YTF2,STB,J,0.02,0.12,0.12,0.12
2YTF2,STB,J,0.02,0,0,0
1YTF1,TAU,J,0.03,0.12,0.12,0.12
2YTF1,TAU,J,0.03,0.12,0.12,0.12
1YTF2,TAU,J,0.03,0.12,0.12,0.12
1HER1,WOL,J,0,1.00E-05,1.00E-05,0.00001
2HER1,WOL,J,0,1.00E-05,1.00E-05,0.00001
1HER2,WOL,J,0,1.00E-05,1.00E-05,0.00001
2HER2,WOL,J,0,1.00E-05,1.00E-05,0.00001
SCA,WOL,R,0.001,1.00E-04,1.00E-04,0.0001
BFF,WOL,R,0.01,1.00E-04,1.00E-04,0.0001
BG,WOL,R,0.25,0,0,0
ZM,SDF,J,0,0.01,0.01,0.01
ZS,SDF,J,0,0.05,0.05,0.05
1STB1,FDF,J,0.075,0.15,0.15,0.15
2STB1,FDF,J,0.065,0.135,0.135,0.135
1STB2,FDF,J,0.06,0.12,0.12,0.12
2STB2,FDF,J,0.1,0.2,0.2,0.2
1HAD1,FDF,J,0.09,0.18,0.18,0.18
2HAD1,FDF,J,0.1,0.2,0.2,0.2
1HAD2,FDF,J,0.075,0.15,0.15,0.15
2HAD2,FDF,J,0.075,0.15,0.15,0.15
1YTF1,FDF,J,0.045,0.09,0.09,0.09
2YTF1,FDF,J,0.045,0.09,0.09,0.09
1YTF2,FDF,J,0.045,0.09,0.09,0.09
2YTF2,FDF,J,0.045,0.09,0.09,0.09
ZM,FDF,J,0,0.01,0.01,0.01
ZS,FDF,J,0,0.05,0.05,0.05
1ANC2,HAD,J,0.005,0,0,0
1GOO1,HAD,J,0.025,0.05,0.05,0.05
2GOO1,HAD,J,0.025,0.05,0.05,0.05
1GOO2,HAD,J,0.05,0.1,0.1,0.1
2GOO2,HAD,J,0.025,0.1,0.1,0.1
1OPT1,HAD,J,0.025,0.1125,0.1125,0.1125
2OPT1,HAD,J,0.025,0.1125,0.1125,0.1125
1OPT2,HAD,J,0.05,0.2,0.2,0.2
2OPT2,HAD,J,0.05,0.1,0.1,0.1
1HAD1,HAD,J,1.00E-04,0.09,0.09,0.09
2HAD1,HAD,J,1.00E-04,0.09,0.09,0.09
1HAD2,HAD,J,1.00E-04,0.09,0.09,0.09
2HAD2,HAD,J,1.00E-04,0.09,0.09,0.09
1SHK1,YTF,J,0.045,0.09,0.09,0.09
2SHK1,YTF,J,0.002,0.045,0.045,0.045
1SHK2,YTF,J,0.001,0.002,0.002,0.002
2SHK2,YTF,J,0.002,0.045,0.045,0.045
ZM,YTF,J,0,0.01,0.01,0.01
ZS,YTF,J,0,0.05,0.05,0.05
1GOO2,DOG,J,0.005,0.09,0.09,0.09
2GOO2,DOG,J,0.005,0.09,0.09,0.09
1DOG1,DOG,J,0.003375,0.225,0.225,0.225
2DOG1,DOG,J,0.1,0.225,0.225,0.225
1DOG2,DOG,J,0.1,0.225,0.225,0.225
2DOG2,DOG,J,0.1,0.225,0.225,0.225
1REP1,DOG,J,0.05,0,0,0
2REP1,DOG,J,0.05,0,0,0
1REP2,DOG,J,0.05,0,0,0
2REP2,DOG,J,0.05,0,0,0
LOB,DOG,R,0.001,0,0,0
RCB,DOG,R,0.025,0,0,0
BMS,DOG,R,0.0025,0,0,0
BC,DOG,R,0.01,0,0,0
1SMO1,SMO,J,0.1,0.225,0.225,0.225
2SMO1,SMO,J,0.1,0.225,0.225,0.225
1SMO2,SMO,J,0.1,0.25,0.25,0.25
2SMO2,SMO,J,0.1,0.275,0.275,0.275
ZM,SMO,J,0,0.05,0.05,0.05
1SSH1,SSH,J,0.05,0.225,0.225,0.225
2SSH1,SSH,J,0.05,0.225,0.225,0.225
1SSH2,SSH,J,0.05,0.25,0.25,0.25
2SSH2,SSH,J,0.05,0.275,0.275,0.275
1DSH1,SSH,J,0.01,0.225,0.225,0.225
2DSH1,SSH,J,0.01,0.225,0.225,0.225
1DSH2,SSH,J,0.01,0.25,0.25,0.25
2DSH2,SSH,J,0.01,0.275,0.275,0.275
1SSH1,DSH,J,0.05,0.2,0.2,0.2
2SSH1,DSH,J,0.05,0.21,0.21,0.21
1SSH2,DSH,J,0.05,0.25,0.25,0.25
2SSH2,DSH,J,0.05,0.275,0.275,0.275
1DSH1,DSH,J,0.01,0.2,0.2,0.2
2DSH1,DSH,J,0.01,0.21,0.21,0.21
1DSH2,DSH,J,0.01,0.25,0.25,0.25
2DSH2,DSH,J,0.01,0.275,0.275,0.275
SCA,POR,R,0.001,1.00E-04,1.00E-04,0.0001
BFF,POR,R,0.01,1.00E-04,1.00E-04,0.0001
BG,POR,R,0.01,0,0,0
ZM,POR,J,0,0.01,0.01,0.01
ZS,POR,J,0,0.05,0.05,0.05
1SSH1,PSH,J,0.05,0,0,0
2SSH1,PSH,J,0.05,0,0,0
1SSH2,PSH,J,0.05,0,0,0
2SSH2,PSH,J,0.05,0,0,0
1DSH1,PSH,J,0.01,0,0,0
2DSH1,PSH,J,0.01,0,0,0
